;Vertex,頂点Index,位置_x,位置_y,位置_z,法線_x,法線_y,法線_z,エッジ倍率,UV_u,UV_v,追加UV1_x,追加UV1_y,追加UV1_z,追加UV1_w,追加UV2_x,追加UV2_y,追加UV2_z,追加UV2_w,追加UV3_x,追加UV3_y,追加UV3_z,追加UV3_w,追加UV4_x,追加UV4_y,追加UV4_z,追加UV4_w,ウェイト変形タイプ(0:BDEF1/1:BDEF2/2:BDEF4/3:SDEF/4:QDEF),ウェイト1_ボーン名,ウェイト1_ウェイト値,ウェイト2_ボーン名,ウェイト2_ウェイト値,ウェイト3_ボーン名,ウェイト3_ウェイト値,ウェイト4_ボーン名,ウェイト4_ウェイト値,C_x,C_y,C_z,R0_x,R0_y,R0_z,R1_x,R1_y,R1_z
Vertex,1032,0.4685446,17.24736,-1.117256,0.3239887,-0.2360845,-0.9161307,1,0.75601,0.25842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1033,0.4705754,17.11028,-1.092915,0.3239597,-0.2705599,-0.906558,1,0.75601,0.39089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1034,0.4870684,17.11416,-1.088081,0.3336357,-0.2685815,-0.9036322,1,0.77442,0.38835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1035,0.5030203,17.12305,-1.08474,0.3423558,-0.2653965,-0.9013086,1,0.79212,0.38081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1036,0.5178762,17.13663,-1.083008,0.3493851,-0.2612734,-0.8998146,1,0.80843,0.36857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1037,0.5310985,17.15437,-1.08294,0.3544875,-0.2564639,-0.8992024,1,0.82273,0.35209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1038,0.5421981,17.1756,-1.084529,0.3574429,-0.2513628,-0.8994728,1,0.83447,0.33202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1039,0.5507283,17.19948,-1.087723,0.3582829,-0.2462837,-0.900543,1,0.84319,0.30912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1040,0.5563313,17.22513,-1.09241,0.3575243,-0.2418351,-0.9020489,1,0.84856,0.28427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1041,0.5593084,17.25157,-1.098233,0.3548948,-0.238829,-0.9038863,1,0.85037,0.25842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1042,0.5580556,17.27767,-1.105469,0.3508487,-0.2370211,-0.9059394,1,0.84856,0.23258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1043,0.5554335,17.30268,-1.112904,0.3460012,-0.2347351,-0.9083956,1,0.84319,0.20773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1044,0.5490742,17.32539,-1.121071,0.3409083,-0.231699,-0.9110966,1,0.83447,0.18483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1045,0.5390502,17.34497,-1.129713,0.3368393,-0.2290236,-0.9132839,1,0.82273,0.16476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1046,0.5256927,17.36062,-1.138522,0.333558,-0.2267057,-0.9150648,1,0.80843,0.14828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1047,0.5095622,17.37178,-1.147139,0.3305977,-0.224727,-0.9166259,1,0.79212,0.13604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1048,0.4914376,17.37799,-1.155179,0.3277012,-0.2233351,-0.9180051,1,0.77442,0.1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1049,0.472254,17.37906,-1.162259,0.3244418,-0.2228363,-0.9192832,1,0.75601,0.12596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1050,0.4530392,17.37498,-1.168003,0.3211461,-0.2233538,-0.9203141,1,0.7376,0.1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1051,0.4348198,17.36591,-1.172101,0.3178538,-0.2247709,-0.9211118,1,0.7199,0.13604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
