;Morph,モーフ名,モーフ名(英),パネル(0:無効/1:眉(左下)/2:目(左上)/3:口(右上)/4:その他(右下)),モーフ種類(0:グループモーフ/1:頂点モーフ/2:ボーンモーフ/3:UV(Tex)モーフ/4:追加UV1モーフ/5:追加UV2モーフ/6:追加UV3モーフ/7:追加UV4モーフ/8:材質モーフ/9:フリップモーフ/10:インパルスモーフ)
Morph,"Gウィンク２","",0,1
;VertexMorph,親モーフ名,頂点Index,位置オフセット_x,位置オフセット_y,位置オフセット_z
VertexMorph,"Gウィンク２",141,-0.01346308,-0.260994,0.05598342
VertexMorph,"Gウィンク２",142,-0.04145676,-0.2046757,0.02510691
VertexMorph,"Gウィンク２",143,0.03342345,-0.2389164,0.06284964
VertexMorph,"Gウィンク２",144,-0.06512403,-0.1462708,-0.006401181
VertexMorph,"Gウィンク２",145,0.07948107,-0.2051868,0.06925166
VertexMorph,"Gウィンク２",146,-0.09193295,-0.08189201,-0.0394032
VertexMorph,"Gウィンク２",147,0.1093374,-0.1325245,0.04434896
VertexMorph,"Gウィンク２",148,-0.07315886,-0.00254631,-0.04743016
VertexMorph,"Gウィンク２",149,0.1020888,-0.06147003,0.01776302
VertexMorph,"Gウィンク２",150,-0.006070375,0.1387863,-0.02932382
VertexMorph,"Gウィンク２",151,0.01368326,0.177496,-0.001742005
VertexMorph,"Gウィンク２",152,0.03808171,0.1714993,0.00578928
VertexMorph,"Gウィンク２",153,0.04076391,0.149025,-0.005313039
VertexMorph,"Gウィンク２",155,0.0689711,0.1040611,-0.006521702
VertexMorph,"Gウィンク２",186,0.08592165,0.03332901,-0.01116645
VertexMorph,"Gウィンク２",252,-0.03203428,0.09583855,-0.04088676
VertexMorph,"Gウィンク２",265,-0.0145312,-0.2378922,0.03309202
VertexMorph,"Gウィンク２",266,-0.03115547,-0.1836224,0.009253621
VertexMorph,"Gウィンク２",267,0.03288117,-0.2145252,0.04440594
VertexMorph,"Gウィンク２",268,-0.04307121,-0.1245632,-0.01265514
VertexMorph,"Gウィンク２",269,0.04430589,-0.1865139,0.0332644
VertexMorph,"Gウィンク２",270,-0.04962164,-0.07621002,-0.02854586
VertexMorph,"Gウィンク２",271,0.05156881,-0.1187096,0.01555789
VertexMorph,"Gウィンク２",272,-0.0485245,-0.01567078,-0.04463172
VertexMorph,"Gウィンク２",273,0.04273191,-0.07247734,-0.0004249811
VertexMorph,"Gウィンク２",274,0.009034097,0.1229668,-0.03621292
VertexMorph,"Gウィンク２",275,0.02711111,0.1383324,-0.02996886
VertexMorph,"Gウィンク２",276,0.03598514,0.1236534,-0.03625703
VertexMorph,"Gウィンク２",277,0.02021003,0.1045799,-0.04907286
VertexMorph,"Gウィンク２",278,0.01881972,0.07770157,-0.05157518
VertexMorph,"Gウィンク２",279,0.02352723,0.02544212,-0.03518033
VertexMorph,"Gウィンク２",280,-0.01866436,0.07591057,-0.04232419
VertexMorph,"Gウィンク２",281,0.01887977,0.07940292,-0.04761565
VertexMorph,"Gウィンク２",282,0.04464489,-0.1855011,0.03754449
VertexMorph,"Gウィンク２",283,0.02280992,0.02614212,-0.03157234
VertexMorph,"Gウィンク２",284,0.04275322,-0.07139778,0.003861904
VertexMorph,"Gウィンク２",285,0.05225632,-0.1177273,0.01956773
VertexMorph,"Gウィンク２",286,0.02640373,0.1375656,-0.03323126
VertexMorph,"Gウィンク２",287,0.0345521,0.1229954,-0.04100215
VertexMorph,"Gウィンク２",288,0.01976708,0.1039467,-0.05349493
VertexMorph,"Gウィンク２",304,0.03349301,0.1584797,-0.001697659
VertexMorph,"Gウィンク２",305,0.09494424,-0.01400948,0.001140237
VertexMorph,"Gウィンク２",306,0.03618807,-0.01534271,-0.01562798
VertexMorph,"Gウィンク２",307,0.03682271,-0.01573753,-0.01907229
VertexMorph,"Gウィンク２",308,0.02031279,0.1124516,-0.04857588
VertexMorph,"Gウィンク２",309,0.02137512,0.1132641,-0.0444777
VertexMorph,"Gウィンク２",311,0.07091439,0.07641602,-0.011572
VertexMorph,"Gウィンク２",312,0.008881181,0.06036568,-0.04446149
VertexMorph,"Gウィンク２",313,0.009110004,0.05970955,-0.04829335
VertexMorph,"Gウィンク２",315,0.0527063,0.1334171,-0.006719708
VertexMorph,"Gウィンク２",316,0.01840445,0.09518623,-0.05007684
