;Morph,モーフ名,モーフ名(英),パネル(0:無効/1:眉(左下)/2:目(左上)/3:口(右上)/4:その他(右下)),モーフ種類(0:グループモーフ/1:頂点モーフ/2:ボーンモーフ/3:UV(Tex)モーフ/4:追加UV1モーフ/5:追加UV2モーフ/6:追加UV3モーフ/7:追加UV4モーフ/8:材質モーフ/9:フリップモーフ/10:インパルスモーフ)
Morph,"Gウィンク","",0,1
;VertexMorph,親モーフ名,頂点Index,位置オフセット_x,位置オフセット_y,位置オフセット_z
VertexMorph,"Gウィンク",141,-0.03079596,-0.1689205,0.05285382
VertexMorph,"Gウィンク",142,-0.06737721,-0.1387005,0.01676965
VertexMorph,"Gウィンク",143,0.008236557,-0.1620789,0.06006765
VertexMorph,"Gウィンク",144,-0.0505088,-0.1215191,0.01563096
VertexMorph,"Gウィンク",145,0.04288408,-0.1481705,0.06153393
VertexMorph,"Gウィンク",146,-0.08191675,-0.07197762,-0.01648533
VertexMorph,"Gウィンク",147,0.06115919,-0.09416199,0.03275907
VertexMorph,"Gウィンク",148,-0.07780528,0.009162903,-0.03309035
VertexMorph,"Gウィンク",149,0.0740858,-0.03377724,0.007446289
VertexMorph,"Gウィンク",150,-0.02888006,0.1618385,-0.023417
VertexMorph,"Gウィンク",151,-0.01294208,0.2622757,-0.004526973
VertexMorph,"Gウィンク",152,0.02071422,0.2743683,0.003209352
VertexMorph,"Gウィンク",153,0.03538638,0.242794,-0.004293919
VertexMorph,"Gウィンク",155,0.06716475,0.1739693,-0.007812023
VertexMorph,"Gウィンク",186,0.07528841,0.07193756,-0.01779413
VertexMorph,"Gウィンク",252,-0.04489076,0.1111317,-0.03057158
VertexMorph,"Gウィンク",265,-0.02567175,-0.1305275,0.03723419
VertexMorph,"Gウィンク",266,-0.05151135,-0.1045094,0.01052821
VertexMorph,"Gウィンク",267,0.00721404,-0.1207752,0.04115307
VertexMorph,"Gウィンク",268,-0.02873141,-0.0889492,0.01465869
VertexMorph,"Gウィンク",269,0.004255027,-0.1113091,0.02644002
VertexMorph,"Gウィンク",270,-0.04081452,-0.05672836,-0.002185106
VertexMorph,"Gウィンク",271,0.006156504,-0.06397247,0.004642606
VertexMorph,"Gウィンク",272,-0.04549903,-0.0008392334,-0.01951778
VertexMorph,"Gウィンク",273,0.01090491,-0.03108025,-0.007492304
VertexMorph,"Gウィンク",274,-0.002852142,0.1450768,-0.02062654
VertexMorph,"Gウィンク",275,0.006675363,0.2158031,-0.02775705
VertexMorph,"Gウィンク",276,0.02143016,0.2195702,-0.03543711
VertexMorph,"Gウィンク",277,0.01487127,0.1917686,-0.04681718
VertexMorph,"Gウィンク",278,0.01652774,0.1423283,-0.046929
